EmployeeID,Age,Gender,Department,JobRole,EducationField,BusinessTravel,MaritalStatus,MonthlyIncome,OverTime,JobSatisfaction,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,TrainingTimesLastYear,PerformanceRating,Attrition
1,37,Male,Sales,Sales Representative,Marketing,Travel_Frequently,Married,10140,No,3,2,3,0,3,3,No
2,31,Male,Sales,Sales Representative,Technical Degree,Travel_Rarely,Single,8481,Yes,2,3,15,2,5,3,No
3,34,Male,Research & Development,Laboratory Technician,Marketing,Travel_Frequently,Single,9390,Yes,3,3,14,2,4,4,No
4,23,Male,Research & Development,Research Scientist,Other,Travel_Rarely,Married,19246,No,3,2,17,5,1,3,No
5,59,Female,Research & Development,Laboratory Technician,Marketing,Non-Travel,Single,3533,Yes,3,3,0,0,4,4,Yes
6,48,Male,Sales,Manager,Life Sciences,Travel_Frequently,Divorced,11245,No,3,4,6,1,2,4,No
7,55,Male,Sales,Sales Representative,Technical Degree,Travel_Frequently,Married,13922,No,4,4,15,7,1,3,No
8,42,Female,Research & Development,Research Scientist,Technical Degree,Travel_Rarely,Married,9561,No,2,4,3,0,1,3,No
9,52,Male,Human Resources,Human Resources,Life Sciences,Travel_Frequently,Divorced,9470,Yes,3,4,0,0,2,3,Yes
10,40,Male,Human Resources,Human Resources,Medical,Travel_Frequently,Single,7656,No,1,2,5,5,4,3,Yes
11,22,Male,Research & Development,Laboratory Technician,Marketing,Non-Travel,Single,16029,No,1,3,7,4,3,3,No
12,60,Female,Sales,Sales Representative,Other,Travel_Rarely,Single,6559,No,2,3,5,2,2,4,No
13,41,Male,Human Resources,Human Resources,Marketing,Travel_Frequently,Divorced,3530,Yes,4,2,19,5,6,3,No
14,27,Male,Human Resources,Human Resources,Other,Travel_Rarely,Married,4800,No,1,4,13,0,2,4,No
15,33,Male,Human Resources,Human Resources,Technical Degree,Travel_Frequently,Divorced,19112,No,4,1,14,2,3,4,No
16,38,Female,Research & Development,Research Scientist,Medical,Non-Travel,Single,15325,No,3,1,2,2,4,3,No
17,41,Male,Research & Development,Research Scientist,Technical Degree,Non-Travel,Married,6502,No,3,1,3,1,4,3,No
18,58,Female,Human Resources,Human Resources,Technical Degree,Non-Travel,Married,8843,Yes,1,2,14,8,2,3,No
19,23,Female,Human Resources,Human Resources,Other,Travel_Frequently,Divorced,5417,Yes,3,2,17,1,6,4,No
20,28,Female,Sales,Manager,Medical,Travel_Rarely,Divorced,12778,No,2,3,13,2,3,3,No
21,46,Male,Research & Development,Laboratory Technician,Medical,Travel_Frequently,Single,7397,No,3,4,18,7,1,3,No
22,37,Male,Research & Development,Research Scientist,Marketing,Non-Travel,Single,10517,No,2,3,13,7,0,4,No
23,47,Female,Research & Development,Laboratory Technician,Life Sciences,Travel_Frequently,Married,4727,No,1,1,1,1,0,3,No
24,20,Female,Sales,Sales Executive,Marketing,Non-Travel,Divorced,13100,No,2,4,10,4,4,3,No
25,60,Female,Research & Development,Research Scientist,Medical,Travel_Frequently,Divorced,11273,No,1,4,2,0,3,3,No
26,32,Male,Research & Development,Research Scientist,Marketing,Travel_Rarely,Married,3536,No,2,2,12,4,4,3,No
27,26,Male,Research & Development,Laboratory Technician,Marketing,Travel_Frequently,Single,3150,Yes,4,2,4,2,0,3,Yes
28,44,Male,Sales,Sales Representative,Marketing,Travel_Frequently,Divorced,17050,No,1,4,8,3,0,3,No
29,40,Male,Human Resources,Human Resources,Other,Travel_Frequently,Single,4914,Yes,1,3,10,5,3,3,No
30,53,Male,Human Resources,Human Resources,Technical Degree,Travel_Frequently,Married,6981,Yes,2,3,3,3,5,4,Yes
31,35,Male,Human Resources,Human Resources,Technical Degree,Travel_Rarely,Single,17439,Yes,2,3,0,0,6,4,Yes
32,42,Male,Human Resources,Human Resources,Medical,Travel_Rarely,Divorced,12668,Yes,1,4,10,10,1,4,No
33,20,Male,Research & Development,Research Scientist,Medical,Travel_Frequently,Divorced,7061,Yes,4,2,7,6,2,4,No
34,52,Female,Human Resources,Human Resources,Medical,Travel_Frequently,Divorced,14410,No,4,3,3,1,6,3,No
35,27,Female,Sales,Sales Executive,Life Sciences,Non-Travel,Married,18376,Yes,3,4,0,0,0,4,No
36,26,Male,Human Resources,Human Resources,Marketing,Non-Travel,Married,12273,No,2,4,19,10,5,4,No
37,56,Male,Sales,Sales Executive,Marketing,Travel_Frequently,Married,12528,No,1,2,19,9,0,3,No
38,28,Female,Human Resources,Human Resources,Life Sciences,Non-Travel,Divorced,3657,No,2,3,4,3,0,4,No
39,30,Male,Human Resources,Human Resources,Life Sciences,Non-Travel,Divorced,2932,No,4,3,12,1,1,3,No
40,20,Male,Sales,Sales Representative,Life Sciences,Non-Travel,Married,10905,No,1,3,12,2,2,3,No
41,39,Male,Sales,Sales Executive,Other,Travel_Frequently,Single,18587,No,1,4,3,0,0,4,No
42,45,Male,Human Resources,Human Resources,Other,Travel_Frequently,Married,5133,No,4,2,10,8,1,4,No
43,48,Male,Human Resources,Human Resources,Other,Travel_Rarely,Single,17403,No,3,4,1,1,4,3,No
44,36,Male,Human Resources,Human Resources,Other,Travel_Frequently,Divorced,12901,No,2,1,9,3,4,3,No
45,49,Male,Research & Development,Laboratory Technician,Marketing,Travel_Rarely,Single,16705,No,3,3,3,1,1,3,No
46,25,Female,Research & Development,Laboratory Technician,Technical Degree,Travel_Rarely,Divorced,14251,No,3,1,0,0,0,4,No
47,36,Male,Sales,Manager,Technical Degree,Travel_Rarely,Single,19649,Yes,2,1,11,4,0,3,No
48,56,Male,Research & Development,Laboratory Technician,Life Sciences,Travel_Frequently,Divorced,18978,No,1,1,10,5,5,4,Yes
49,31,Female,Research & Development,Research Scientist,Marketing,Non-Travel,Single,12742,No,3,4,15,1,6,4,No
50,27,Female,Research & Development,Laboratory Technician,Marketing,Non-Travel,Married,12481,Yes,3,4,16,0,4,3,No
51,31,Female,Research & Development,Laboratory Technician,Technical Degree,Travel_Frequently,Married,5850,Yes,2,4,2,0,6,3,Yes
52,36,Male,Research & Development,Research Scientist,Medical,Non-Travel,Married,16983,Yes,4,3,6,0,5,3,No
53,56,Male,Sales,Sales Executive,Technical Degree,Travel_Rarely,Single,18199,No,2,4,15,10,0,4,No
54,38,Female,Sales,Sales Representative,Technical Degree,Travel_Rarely,Married,6329,Yes,1,1,2,1,4,4,No
55,32,Male,Sales,Manager,Medical,Travel_Rarely,Single,6230,Yes,4,4,15,10,0,3,No
56,51,Female,Sales,Sales Executive,Life Sciences,Non-Travel,Divorced,5679,Yes,3,4,11,0,6,4,No
57,40,Male,Sales,Manager,Technical Degree,Travel_Frequently,Single,9357,No,1,4,16,1,5,4,No
58,22,Female,Research & Development,Laboratory Technician,Marketing,Travel_Rarely,Divorced,15947,No,3,3,17,2,1,4,No
59,42,Female,Sales,Sales Representative,Life Sciences,Travel_Frequently,Married,18065,No,1,2,4,1,2,3,No
60,28,Male,Research & Development,Laboratory Technician,Other,Travel_Rarely,Married,6253,Yes,3,1,7,2,0,4,No
61,34,Male,Sales,Sales Representative,Other,Non-Travel,Divorced,5714,Yes,1,3,9,3,1,4,No
62,44,Female,Research & Development,Laboratory Technician,Technical Degree,Travel_Rarely,Single,6789,No,4,2,14,2,1,3,No
63,20,Male,Research & Development,Laboratory Technician,Marketing,Travel_Frequently,Single,18510,No,4,4,8,7,5,4,No
64,39,Male,Research & Development,Research Scientist,Marketing,Non-Travel,Divorced,5156,No,3,2,14,4,3,4,No
65,35,Male,Research & Development,Laboratory Technician,Life Sciences,Travel_Frequently,Single,12844,No,3,4,4,3,2,3,No
66,34,Female,Human Resources,Human Resources,Life Sciences,Travel_Frequently,Divorced,7339,Yes,2,3,15,1,3,3,No
67,57,Male,Research & Development,Laboratory Technician,Marketing,Non-Travel,Married,15661,Yes,2,3,15,2,3,4,Yes
68,25,Female,Research & Development,Research Scientist,Medical,Travel_Frequently,Divorced,16191,Yes,3,3,10,4,2,4,No
69,57,Female,Sales,Sales Representative,Marketing,Travel_Frequently,Divorced,13813,No,4,1,18,2,4,4,No
70,39,Male,Sales,Sales Executive,Life Sciences,Travel_Frequently,Married,19720,Yes,3,1,0,0,5,4,No
71,42,Female,Research & Development,Laboratory Technician,Other,Travel_Rarely,Single,17114,No,2,1,10,7,2,3,Yes
72,39,Male,Research & Development,Research Scientist,Technical Degree,Travel_Frequently,Divorced,14332,No,2,1,2,1,4,3,Yes
73,42,Male,Sales,Sales Executive,Marketing,Travel_Rarely,Single,10907,No,2,1,12,8,0,3,No
74,18,Female,Sales,Sales Representative,Life Sciences,Non-Travel,Divorced,19930,No,2,1,1,1,2,4,Yes
75,48,Female,Research & Development,Laboratory Technician,Medical,Travel_Frequently,Married,11004,Yes,1,4,9,1,0,3,No
76,18,Male,Research & Development,Research Scientist,Technical Degree,Travel_Frequently,Married,8340,Yes,1,2,17,6,5,3,No
77,30,Male,Research & Development,Laboratory Technician,Medical,Travel_Frequently,Married,7853,No,1,1,2,2,4,4,No
78,25,Male,Research & Development,Research Scientist,Other,Travel_Frequently,Divorced,5022,No,2,2,0,0,0,4,No
79,45,Male,Human Resources,Human Resources,Medical,Travel_Frequently,Married,15489,Yes,2,4,14,9,4,3,No
80,29,Male,Research & Development,Research Scientist,Marketing,Non-Travel,Single,7609,No,4,2,12,1,1,4,No
81,23,Male,Sales,Sales Representative,Life Sciences,Non-Travel,Married,12307,Yes,1,2,18,5,4,4,No
82,48,Male,Human Resources,Human Resources,Marketing,Travel_Frequently,Divorced,8486,No,2,1,4,1,2,3,No
83,50,Female,Research & Development,Laboratory Technician,Marketing,Travel_Frequently,Divorced,6524,No,3,2,8,7,5,4,No
84,22,Male,Research & Development,Research Scientist,Marketing,Travel_Frequently,Single,5277,Yes,2,3,5,5,4,3,No
